,time,distance,heuristic,cityDep_id,cityArr_id
169,18663,538134,449344.1457509917,10000,57
170,36417,1119034,784077.433700305,100000,57
171,31751,815352,614755.9572993987,1000,58
172,21193,558870,421150.4308096564,10000,58
173,38718,1033472,720144.0730929736,100000,58
174,19565,563930,485839.2045746716,1000,59
175,27233,817408,651225.4849547654,10000,59
176,8998,230301,209919.19264432558,100000,59
177,19490,566928,477758.6809652782,1000,60
178,14956,439377,312635.7660420023,10000,60
179,25984,785290,559331.5048917063,100000,60
180,8677,231759,211132.97731761518,1000,61
181,30525,902385,798368.4194452252,10000,61
182,20842,607911,516122.4520780006,100000,61
183,16800,460252,396546.8785515131,1000,62
184,12986,355512,262762.11828660936,10000,62
185,9764,261679,203216.04078608903,100000,62
186,2165,23051,11176.423236871064,1000,63
187,24013,693677,598219.1880773121,10000,63
188,14330,399203,353665.01061385544,100000,63
189,7131,183148,141796.15508524107,1000,64
190,25140,761407,561104.3010398016,10000,64
191,17560,522074,438595.4170705459,100000,64
192,17477,502501,440851.9439887525,1000,65
193,25145,755979,593871.9873167379,10000,65
194,6910,168872,148626.90984944682,100000,65
195,6760,170213,129590.83731040164,1000,66
196,28608,840839,709210.7434041107,10000,66
197,18925,546365,461306.39834491117,100000,66
198,28376,836398,696438.390446439,1000,67
199,16319,466837,363640.3856145916,10000,67
200,34073,1047737,741759.8141961993,100000,67
201,1845,21876,12453.990034329854,1000,68
202,22075,662086,576573.3368871755,10000,68
203,12392,367613,333897.25664355006,100000,68
204,1416,7222,6887.215698301806,1000,69
205,22999,679187,591032.1069071208,10000,69
206,13316,384713,339315.996727639,100000,69
207,14428,410159,353098.0763317728,1000,70
208,14198,422609,337335.097976612,10000,70
209,5611,143798,130216.40778578677,100000,70
210,8712,233773,199302.01792309628,1000,71
211,30429,902550,729888.2661036411,10000,71
212,20746,608076,542382.9678772233,100000,71
213,19063,572310,455396.0180682422,1000,72
214,19853,595146,417492.1041087177,10000,72
215,26030,790430,603287.0136849794,100000,72
216,4874,85322,67104.53199450043,1000,73
217,26498,766161,650704.1146732757,10000,73
218,16815,471687,364977.7069644495,100000,73
219,19928,594381,504905.5807695167,1000,74
220,8426,241265,211557.02473654947,10000,74
221,11904,357165,278821.00669076235,100000,74
222,16082,475230,401636.8995994718,1000,75
223,17441,531398,357358.11241637747,10000,75
224,22800,695152,522285.15963274357,100000,75
225,55677,1124250,918915.3110987812,1000,76
226,43620,754689,624415.7233403553,10000,76
227,61374,1335589,1005606.1630119319,100000,76
228,15870,460399,400503.7187776173,1000,77
229,23028,699232,557546.9675715034,10000,77
230,4793,112125,102924.10172918446,100000,77
231,20931,625085,544216.6274069295,1000,78
232,2791,53101,46506.81381462274,10000,78
233,17852,554627,422043.5128625444,100000,78
234,20524,606289,484632.54972258385,1000,79
235,18998,562243,401057.1264010393,10000,79
236,27491,824409,616473.5638527703,100000,79
237,28965,856997,701981.3468490749,1000,80
238,16908,487436,381985.87357585464,10000,80
239,34662,1068336,755023.4915018794,100000,80
240,1924,11519,7642.428497834812,1000,81
241,22784,669947,583658.438966326,10000,81
242,13101,375473,335479.7891074359,100000,81
243,13497,385956,343093.5056673357,1000,100000
244,19220,586041,465500.75535440876,10000,100000
245,23138,679086,588813.3542232797,1000,10000
